recall,std_dev,criterion,max_depth,min_samples_split,min_samples_leaf
0.258,0.033,gini,2,1,2
0.258,0.033,gini,2,1,5
0.258,0.033,gini,2,1,10
0.258,0.033,gini,2,1,20
0.258,0.033,gini,2,5,2
0.258,0.033,gini,2,5,5
0.258,0.033,gini,2,5,10
0.258,0.033,gini,2,5,20
0.258,0.033,gini,2,10,2
0.258,0.033,gini,2,10,5
0.258,0.033,gini,2,10,10
0.258,0.033,gini,2,10,20
0.258,0.033,gini,2,20,2
0.258,0.033,gini,2,20,5
0.258,0.033,gini,2,20,10
0.258,0.033,gini,2,20,20
0.236,0.028,gini,5,1,2
0.236,0.027,gini,5,1,5
0.236,0.029,gini,5,1,10
0.236,0.029,gini,5,1,20
0.235,0.026,gini,5,5,2
0.235,0.027,gini,5,5,5
0.235,0.026,gini,5,5,10
0.236,0.028,gini,5,5,20
0.234,0.025,gini,5,10,2
0.234,0.025,gini,5,10,5
0.234,0.025,gini,5,10,10
0.234,0.025,gini,5,10,20
0.237,0.032,gini,5,20,2
0.237,0.032,gini,5,20,5
0.237,0.032,gini,5,20,10
0.237,0.032,gini,5,20,20
0.247,0.030,gini,10,1,2
0.243,0.035,gini,10,1,5
0.244,0.034,gini,10,1,10
0.245,0.034,gini,10,1,20
0.246,0.025,gini,10,5,2
0.245,0.023,gini,10,5,5
0.247,0.025,gini,10,5,10
0.249,0.025,gini,10,5,20
0.245,0.018,gini,10,10,2
0.246,0.016,gini,10,10,5
0.245,0.018,gini,10,10,10
0.245,0.019,gini,10,10,20
0.245,0.020,gini,10,20,2
0.245,0.020,gini,10,20,5
0.245,0.020,gini,10,20,10
0.245,0.020,gini,10,20,20
0.277,0.038,gini,15,1,2
0.271,0.033,gini,15,1,5
0.270,0.042,gini,15,1,10
0.265,0.030,gini,15,1,20
0.283,0.034,gini,15,5,2
0.282,0.031,gini,15,5,5
0.282,0.036,gini,15,5,10
0.276,0.036,gini,15,5,20
0.265,0.022,gini,15,10,2
0.268,0.025,gini,15,10,5
0.267,0.026,gini,15,10,10
0.266,0.026,gini,15,10,20
0.252,0.018,gini,15,20,2
0.251,0.018,gini,15,20,5
0.252,0.018,gini,15,20,10
0.252,0.017,gini,15,20,20
0.332,0.042,gini,None,1,2
0.326,0.037,gini,None,1,5
0.317,0.039,gini,None,1,10
0.297,0.036,gini,None,1,20
0.313,0.038,gini,None,5,2
0.310,0.038,gini,None,5,5
0.312,0.042,gini,None,5,10
0.289,0.038,gini,None,5,20
0.275,0.033,gini,None,10,2
0.274,0.030,gini,None,10,5
0.273,0.033,gini,None,10,10
0.274,0.029,gini,None,10,20
0.254,0.022,gini,None,20,2
0.254,0.021,gini,None,20,5
0.254,0.022,gini,None,20,10
0.254,0.022,gini,None,20,20
0.258,0.033,entropy,2,1,2
0.258,0.033,entropy,2,1,5
0.258,0.033,entropy,2,1,10
0.258,0.033,entropy,2,1,20
0.258,0.033,entropy,2,5,2
0.258,0.033,entropy,2,5,5
0.258,0.033,entropy,2,5,10
0.258,0.033,entropy,2,5,20
0.258,0.033,entropy,2,10,2
0.258,0.033,entropy,2,10,5
0.258,0.033,entropy,2,10,10
0.258,0.033,entropy,2,10,20
0.258,0.033,entropy,2,20,2
0.258,0.033,entropy,2,20,5
0.258,0.033,entropy,2,20,10
0.258,0.033,entropy,2,20,20
0.238,0.024,entropy,5,1,2
0.238,0.024,entropy,5,1,5
0.238,0.024,entropy,5,1,10
0.239,0.024,entropy,5,1,20
0.238,0.022,entropy,5,5,2
0.238,0.022,entropy,5,5,5
0.238,0.022,entropy,5,5,10
0.238,0.022,entropy,5,5,20
0.238,0.022,entropy,5,10,2
0.238,0.022,entropy,5,10,5
0.238,0.023,entropy,5,10,10
0.238,0.022,entropy,5,10,20
0.235,0.026,entropy,5,20,2
0.235,0.026,entropy,5,20,5
0.235,0.026,entropy,5,20,10
0.235,0.026,entropy,5,20,20
0.242,0.031,entropy,10,1,2
0.240,0.031,entropy,10,1,5
0.239,0.029,entropy,10,1,10
0.237,0.033,entropy,10,1,20
0.243,0.027,entropy,10,5,2
0.242,0.029,entropy,10,5,5
0.244,0.026,entropy,10,5,10
0.240,0.029,entropy,10,5,20
0.239,0.015,entropy,10,10,2
0.238,0.015,entropy,10,10,5
0.237,0.018,entropy,10,10,10
0.237,0.017,entropy,10,10,20
0.244,0.025,entropy,10,20,2
0.244,0.025,entropy,10,20,5
0.243,0.027,entropy,10,20,10
0.243,0.027,entropy,10,20,20
0.267,0.034,entropy,15,1,2
0.264,0.029,entropy,15,1,5
0.266,0.031,entropy,15,1,10
0.262,0.039,entropy,15,1,20
0.270,0.028,entropy,15,5,2
0.270,0.030,entropy,15,5,5
0.266,0.033,entropy,15,5,10
0.264,0.027,entropy,15,5,20
0.261,0.025,entropy,15,10,2
0.257,0.029,entropy,15,10,5
0.259,0.030,entropy,15,10,10
0.258,0.027,entropy,15,10,20
0.256,0.028,entropy,15,20,2
0.256,0.029,entropy,15,20,5
0.256,0.028,entropy,15,20,10
0.255,0.029,entropy,15,20,20
0.333,0.034,entropy,None,1,2
0.333,0.024,entropy,None,1,5
0.325,0.033,entropy,None,1,10
0.309,0.032,entropy,None,1,20
0.315,0.037,entropy,None,5,2
0.316,0.046,entropy,None,5,5
0.317,0.039,entropy,None,5,10
0.300,0.031,entropy,None,5,20
0.292,0.031,entropy,None,10,2
0.291,0.029,entropy,None,10,5
0.292,0.028,entropy,None,10,10
0.294,0.029,entropy,None,10,20
0.258,0.031,entropy,None,20,2
0.260,0.028,entropy,None,20,5
0.258,0.032,entropy,None,20,10
0.259,0.030,entropy,None,20,20
